     0,   456,  1214,   782,  2202,   329,   593,   503,  1814,    31,   160,  1459,   842,  1672,  1260,   740,    43,  1905,  1127,  2036,   684,   356,   191,    71,   562,    74,  3796,     0,
   456,     0,   191,   160,   523,    46,    87,    97,   364,     7,    58,   364,   118,   239,   324,    80,     5,   401,   219,   330,   239,    56,    33,     7,   141,    13,   864,     0,
  1214,   191,     0,   404,  1444,   199,   175,   329,  1318,    32,   127,   740,   408,  1049,  1070,   512,    20,  1031,   706,  1184,   531,   185,    46,    51,   300,    23,  2278,     0,
   782,   160,   404,     0,  1013,   111,   224,   140,   825,    12,    51,   397,   243,   699,   615,   221,     6,   707,   432,   608,   340,   122,   108,    19,   212,    13,  1566,     0,
  2202,   523,  1444,  1013,     0,   435,   670,   603,  2217,    46,   181,  1514,   926,  2045,  1610,   991,    68,  2427,  1597,  2324,   943,   619,   250,   151,   522,    89,  4707,     0,
   329,    46,   199,   111,   435,     0,    82,    87,   396,     3,    17,   276,    99,   288,   283,    53,     6,   374,   174,   356,   197,    24,    42,    11,    96,     5,   754,     0,
   593,    87,   175,   224,   670,    82,     0,   181,   651,     7,    26,   342,   155,   617,   386,   115,     0,   547,   270,   459,   234,    81,    41,    12,   136,    15,  1112,     0,
   503,    97,   329,   140,   603,    87,   181,     0,   472,     1,    37,   281,   176,   325,   391,   192,     4,   472,   407,   531,   199,    51,   119,     9,   158,    16,  1088,     0,
  1814,   364,  1318,   825,  2217,   396,   651,   472,     0,    36,   117,  1297,   800,  2022,  1483,   825,    49,  1728,  1398,  2182,   746,   486,   137,   115,   490,    84,  3791,     0,
    31,     7,    32,    12,    46,     3,     7,     1,    36,     0,     7,    16,     9,    33,    41,     7,     0,    27,    18,    33,    39,     4,     2,     0,    21,     2,    87,     0,
   160,    58,   127,    51,   181,    17,    26,    37,   117,     7,     0,    84,    34,   113,   100,    42,     3,   115,   101,   105,    40,     7,    44,     1,    33,     0,   359,     0,
  1459,   364,   740,   397,  1514,   276,   342,   281,  1297,    16,    84,     0,   450,   848,   950,   501,    22,   876,   692,  1057,   610,   231,   117,    50,   454,    48,  2482,     0,
   842,   118,   408,   243,   926,    99,   155,   176,   800,     9,    34,   450,     0,   669,   663,   328,     4,   622,   467,   744,   314,    67,    35,    34,   218,    26,  1476,     0,
  1672,   239,  1049,   699,  2045,   288,   617,   325,  2022,    33,   113,   848,   669,     0,  1555,   564,    40,  1373,  1015,  1773,   743,   304,   137,    79,   366,    48,  3199,     0,
  1260,   324,  1070,   615,  1610,   283,   386,   391,  1483,    41,   100,   950,   663,  1555,     0,   716,    22,  1492,  1028,  1591,   676,   322,   202,    71,   394,    45,  3042,     0,
   740,    80,   512,   221,   991,    53,   115,   192,   825,     7,    42,   501,   328,   564,   716,     0,     5,   803,   606,   732,   291,   103,    38,    64,   207,    23,  1535,     0,
    43,     5,    20,     6,    68,     6,     0,     4,    49,     0,     3,    22,     4,    40,    22,     5,     0,    28,    22,    55,    89,     6,     0,     1,    16,     2,    90,     0,
  1905,   401,  1031,   707,  2427,   374,   547,   472,  1728,    27,   115,   876,   622,  1373,  1492,   803,    28,     0,  1123,  1786,   832,   385,   220,    61,   543,    50,  3569,     0,
  1127,   219,   706,   432,  1597,   174,   270,   407,  1398,    18,   101,   692,   467,  1015,  1028,   606,    22,  1123,     0,  1233,   711,   234,   121,    46,   330,    24,  2557,     0,
  2036,   330,  1184,   608,  2324,   356,   459,   531,  2182,    33,   105,  1057,   744,  1773,  1591,   732,    55,  1786,  1233,     0,   896,   346,   120,   102,   529,    37,  3678,     0,
   684,   239,   531,   340,   943,   197,   234,   199,   746,    39,    40,   610,   314,   743,   676,   291,    89,   832,   711,   896,     0,   127,    29,    26,   218,    24,  1732,     0,
   356,    56,   185,   122,   619,    24,    81,    51,   486,     4,     7,   231,    67,   304,   322,   103,     6,   385,   234,   346,   127,     0,    27,    11,    86,     6,   747,     0,
   191,    33,    46,   108,   250,    42,    41,   119,   137,     2,    44,   117,    35,   137,   202,    38,     0,   220,   121,   120,    29,    27,     0,     2,    49,     0,   461,     0,
    71,     7,    51,    19,   151,    11,    12,     9,   115,     0,     1,    50,    34,    79,    71,    64,     1,    61,    46,   102,    26,    11,     2,     0,    21,     1,   187,     0,
   562,   141,   300,   212,   522,    96,   136,   158,   490,    21,    33,   454,   218,   366,   394,   207,    16,   543,   330,   529,   218,    86,    49,    21,     0,    10,  1108,     0,
    74,    13,    23,    13,    89,     5,    15,    16,    84,     2,     0,    48,    26,    48,    45,    23,     2,    50,    24,    37,    24,     6,     0,     1,    10,     0,   119,     0,
  3796,   864,  2278,  1566,  4707,   754,  1112,  1088,  3791,    87,   359,  2482,  1476,  3199,  3042,  1535,    90,  3569,  2557,  3678,  1732,   747,   461,   187,  1108,   119,     0,     0,
     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
